STATION,STATION_CODE,DATA_SOURCE,SITE_TYPE,OWNER,FIRE_CENTRE,FIRE_ZONE,LATITUDE,LONGITUDE,ELEVATION,or_site_id,site_id,client_id,system_id
14G (CRD),1142,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.4944,-123.6139,485,NA,NA,NA,NA
31N (CRD),543,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.5297,-123.6375,600,NA,NA,NA,NA
4RW6 (CRD),1143,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.5861,-123.7494,665,NA,NA,NA,NA
AFTON,322,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.6727,-120.4822,693,395,96.1.70.251:48006;0x0141-0x0142,f123a2e6-fdcf-460a-bfd1-409f859bb62d,27
AKOKLI CREEK,838,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,49.4358,-116.7464,821,NA,NA,NA,NA
ALEXIS CREEK,209,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,52.0838,-123.2733,791,NA,NA,NA,NA
ALLISON PASS,317,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.0625,-120.7668,1174,NA,NA,NA,NA
ANAHIM LAKE,213,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,52.4606,-125.307,1097,NA,NA,NA,NA
ANDERSON CREEK,977,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.6551,-121.3576,655,NA,NA,NA,NA
APE LAKE,1275,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),52.1346,-126.2627,1414,NA,NA,NA,NA
ASHCROFT (EC),1173,Environment Canada,External,Environment Canada,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.7084,-121.2812,327,NA,NA,NA,NA
ASHNOLA,331,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.1391,-120.1844,1683,NA,NA,NA,NA
ASPEN GROVE,302,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.9481,-120.6211,1065,NA,NA,NA,NA
ATLIN,111,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,59.5845,-133.6643,719,NA,NA,NA,NA
ATTACHIE PLATEAU,1243,Non-Reporting,External,NA,Prince George Fire Centre,Fort St. John Zone,56.2327,-121.4664,646,NA,NA,NA,NA
AUGIER LAKE,167,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Lakes),54.3619,-125.5253,927,NA,NA,NA,NA
AUGUST LAKE,836,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.4335,-120.4571,855,NA,NA,NA,NA
BAKER,503,Auto-Caller,Hub Station,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.4589,-115.6303,2262,NA,NA,NA,NA
BALDFACE,221,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,52.7101,-124.4822,1666,NA,NA,NA,NA
BEAR FLAT,1244,Non-Reporting,External,NA,Prince George Fire Centre,Fort St. John Zone,56.2751,-121.2127,474,NA,NA,NA,NA
BEAR LAKE,149,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,54.4824,-122.6829,715,NA,NA,NA,NA
BEAVER CREEK,37,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Mid Island Zone,49.3776,-124.9337,121,NA,NA,NA,NA
BEAVERDELL,390,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Southeast Fire Centre,Boundary Zone,49.4564,-119.0886,807,NA,NA,NA,NA
BEDNESTI,175,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.8654,-123.3232,858,NA,NA,NA,NA
BEGBIE DL,509,Non-Reporting,Download,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.4733,-121.36,1276,NA,NA,NA,NA
BELL-IRVING,432,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Skeena Zone (Kalum),56.3486,-129.2928,391,595,66ad65d299a271067ca51c21,f123a2e6-fdcf-460a-bfd1-409f859bb62d,8
BELLA BELLA (EC),1851,Environment Canada,External,Environment Canada,Coastal Fire Centre,North Island Mid Coast Zone (Mid Coast),52.3619,-128.88,43,NA,NA,NA,NA
BENSON,228,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,52.91,-122.065,1006,NA,NA,NA,NA
BERRY,267,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.9788,-119.4134,1469,NA,NA,NA,NA
BIG MOUTH 2,868,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Columbia Zone,51.8533,-118.5914,1091,NA,NA,NA,NA
BIG SILVER 2,1040,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.7234,-121.8366,570,NA,NA,NA,NA
BIG VALLEY,262,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,53.2617,-121.7617,1355,NA,NA,NA,NA
BIGATTINI,2450,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.4539,-115.9872,1540,NA,NA,NA,NA
